Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
04/27/2022,01/01/2020,04/23/2022,AK,Aleutians East Borough,2013,Noncore,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,AK,Anchorage Municipality,2020,Medium metro,681,5873,
04/27/2022,01/01/2020,04/23/2022,AK,Bethel Census Area,2050,Noncore,33,273,
04/27/2022,01/01/2020,04/23/2022,AK,Denali Borough,2068,Noncore,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,AK,Dillingham Census Area,2070,Noncore,,80,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,AK,Fairbanks North Star Borough,2090,Small metro,172,1388,
04/27/2022,01/01/2020,04/23/2022,AK,Hoonah-Angoon Census Area,2105,Noncore,,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,AK,Juneau City and Borough,2110,Micropolitan,14,405,
04/27/2022,01/01/2020,04/23/2022,AK,Kenai Peninsula Borough,2122,Noncore,75,967,
04/27/2022,01/01/2020,04/23/2022,AK,Ketchikan Gateway Borough,2130,Micropolitan,15,241,
04/27/2022,01/01/2020,04/23/2022,AK,Kodiak Island Borough,2150,Noncore,,164,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,AK,Matanuska-Susitna Borough,2170,Medium metro,215,1709,
04/27/2022,01/01/2020,04/23/2022,AK,Nome Census Area,2180,Noncore,,142,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,AK,North Slope Borough,2185,Noncore,,89,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,AK,Northwest Arctic Borough,2188,Noncore,,117,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,AK,Petersburg Census Area,2195,Noncore,,56,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,AK,Prince of Wales-Hyder Census Area,2198,Noncore,,106,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,AK,Sitka City and Borough,2220,Noncore,,142,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,AK,Skagway Municipality,2230,Noncore,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,AK,Southeast Fairbanks Census Area,2240,Noncore,,80,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,04/23/2022,AK,Valdez-Cordova Census Area,2261,Noncore,,116,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
